tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
90120,1101,ITFollow,001,0,2022-12-16,,,,,,,,,
90121,1102,ITFollow,001,0,2022-12-16,,,,,,,,,
90122,1103,ITFollow,001,0,2022-12-16,,,,,,,,,
90123,1104,ITFollow,001,0,2022-12-16,,,,,,,,,
90124,1108,ITFollow,001,0,2022-12-16,,,,,,,,,
90125,1109,ITFollow,001,0,2022-12-16,,,,,,,,,
90126,1110,ITFollow,001,0,2022-12-16,,,,,,,,,
90127,1201,ITFollow,001,0,2022-12-16,,,,,,,,,
90128,1203,ITFollow,001,0,2022-12-16,,,,,,,,,
90129,1210,ITFollow,001,0,2022-12-16,,,,,,,,,
90130,1213,ITFollow,001,0,2022-12-16,,,,,,,,,
90131,1215,ITFollow,001,0,2022-12-16,,,,,,,,,
90132,1216,ITFollow,001,0,2022-12-16,,,,,,,,,
90133,1217,ITFollow,001,0,2022-12-16,,,,,,,,,
90134,1218,ITFollow,001,0,2022-12-16,,,,,,,,,
90135,1219,ITFollow,001,0,2022-12-16,,,,,,,,,
90136,1220,ITFollow,001,0,2022-12-16,,,,,,,,,
90137,1225,ITFollow,001,0,2022-12-16,,,,,,,,,
90138,1227,ITFollow,001,0,2022-12-16,,,,,,,,,
90139,1229,ITFollow,001,0,2022-12-16,,,,,,,,,
90140,1231,ITFollow,001,0,2022-12-16,,,,,,,,,
90141,1232,ITFollow,001,0,2022-12-16,,,,,,,,,
90142,1233,ITFollow,001,0,2022-12-16,,,,,,,,,
90143,1234,ITFollow,001,0,2022-12-16,,,,,,,,,
90144,1235,ITFollow,001,0,2022-12-16,,,,,,,,,
90145,1236,ITFollow,001,0,2022-12-16,,,,,,,,,
90146,1256,ITFollow,001,0,2022-12-16,,,,,,,,,
90147,1301,ITFollow,001,0,2022-12-16,,,,,,,,,
90148,1303,ITFollow,001,0,2022-12-16,,,,,,,,,
90149,1304,ITFollow,001,0,2022-12-16,,,,,,,,,
90150,1305,ITFollow,001,0,2022-12-16,,,,,,,,,
90151,1307,ITFollow,001,0,2022-12-16,,,,,,,,,
90152,1308,ITFollow,001,0,2022-12-16,,,,,,,,,
90153,1309,ITFollow,001,0,2022-12-16,,,,,,,,,
90154,1310,ITFollow,001,0,2022-12-16,,,,,,,,,
90155,1312,ITFollow,001,0,2022-12-16,,,,,,,,,
90156,1313,ITFollow,001,0,2022-12-16,,,,,,,,,
90157,1314,ITFollow,001,0,2022-12-16,,,,,,,,,
90158,1315,ITFollow,001,0,2022-12-16,,,,,,,,,
90159,1316,ITFollow,001,0,2022-12-16,,,,,,,,,
90160,1319,ITFollow,001,0,2022-12-16,,,,,,,,,
90161,1321,ITFollow,001,0,2022-12-16,,,,,,,,,
90162,1323,ITFollow,001,30,2022-12-16,17.102991751120747,2013-07-11,long,1.0,2013-08-22,23.685416439129604,37.87,71.06,34.87
90163,1323,ITFollow,001,30,2022-12-16,25.24362142991188,2013-09-02,long,1.0,2013-10-15,27.046737246334153,6.64,81.14,44.71
90164,1323,ITFollow,001,30,2022-12-16,24.746210170209178,2013-12-30,long,1.0,2014-02-18,25.741032689614574,3.53,77.22,43.17
90165,1323,ITFollow,001,0,2022-12-16,,,,,,,,,
90166,1324,ITFollow,001,0,2022-12-16,,,,,,,,,
90167,1325,ITFollow,001,30,2022-12-16,50.86647799494894,2020-04-24,long,1.0,2020-06-05,144.5889650092643,183.07,433.77,167.11
90168,1325,ITFollow,001,0,2022-12-16,,,,,,,,,
90169,1326,ITFollow,001,0,2022-12-16,,,,,,,,,
90170,1337,ITFollow,001,0,2022-12-16,,,,,,,,,
90171,1338,ITFollow,001,30,2022-12-16,69.59291272885726,2014-01-07,long,1.0,2014-02-25,78.58338470818332,12.4,235.75,126.69
90172,1338,ITFollow,001,30,2022-12-16,83.9110718070432,2014-04-03,long,1.0,2014-05-16,69.925893172536,-17.07,209.78,131.53
90173,1338,ITFollow,001,30,2022-12-16,77.75300898115445,2015-05-13,long,1.0,2015-06-24,77.06492925565752,-1.35,231.19,132.37
90174,1338,ITFollow,001,30,2022-12-16,69.1815597649196,2015-09-21,long,1.0,2015-11-04,93.07416030228873,33.93,279.22,138.73
90175,1338,ITFollow,001,30,2022-12-16,97.71003801849469,2016-02-24,long,1.0,2016-04-11,89.86470649876154,-8.47,269.59,160.38
90176,1338,ITFollow,001,0,2022-12-16,,,,,,,,,
90177,1339,ITFollow,001,30,2022-12-16,46.53664096818916,2015-11-05,long,1.0,2015-12-16,40.32212059044961,-13.77,120.97,74.26
90178,1339,ITFollow,001,0,2022-12-16,,,,,,,,,
90179,1340,ITFollow,001,0,2022-12-16,,,,,,,,,
90180,1341,ITFollow,001,0,2022-12-16,,,,,,,,,
90181,1342,ITFollow,001,0,2022-12-16,,,,,,,,,
90182,1402,ITFollow,001,0,2022-12-16,,,,,,,,,
90183,1409,ITFollow,001,0,2022-12-16,,,,,,,,,
90184,1410,ITFollow,001,0,2022-12-16,,,,,,,,,
90185,1413,ITFollow,001,0,2022-12-16,,,,,,,,,
90186,1414,ITFollow,001,0,2022-12-16,,,,,,,,,
90187,1416,ITFollow,001,0,2022-12-16,,,,,,,,,
90188,1417,ITFollow,001,0,2022-12-16,,,,,,,,,
90189,1418,ITFollow,001,0,2022-12-16,,,,,,,,,
90190,1419,ITFollow,001,0,2022-12-16,,,,,,,,,
90191,1423,ITFollow,001,0,2022-12-16,,,,,,,,,
